math,speaking,reading,listening,sport
80,90,60,80,100
50,100,40,60,70
60,80,40,50,70
70,80,70,80,75
85,75,80,90,85
78,85,80,82,80
80,70,80,70,80
85,80,85,80,85
95,90,100,95,90
75,76,77,78,79
80,80,80,80,80
70,70,71,72,80
90,100,95,100,98
65,70,70,70,65
100,99,100,100,99
100,100,100,100,100
95,90,92,93,94
20,20,20,20,100
100,50,20,10,30
90,95,80,80,80
100,20,30,40,50
60,65,60,65,60
70,70,70,70,70
80,80,80,80,80
45,46,47,48,49
50,56,70,20,0
0,0,0,0,0
0,100,0,0,0
90,100,50,30,20
80,90,80,60,70
100,90,95,85,80
90,90,90,90,90
100,100,100,0,100
70,75,80,85,90
90,88,86,84,82
100,100,100,100,100
80,23,80,70,88
70,80,90,100,90
40,45,70,76,99
100,45,88,54,66
80,85,80,85,82
90,95,99,100,100
87,85,83,89,100
90,91,89,88,100
100,88,38,44,100
90,95,90,95,90
100,100,100,100,100
90,90,87,85,84
90,90,90,90,90
